caption,altcaption,label,filename,loc
Summary of the recreational length samples used in the stock assessment.,NA,len-samps,or_samples.csv,//nwcfile/FRAM/Assessments/CurrentAssessments/DataModerate_2021/copper_rockfish/data/recreational_comps/forSS
Summary of the recreational age samples. These ages were not directly used in the stock assessment.,NA,age-samps,or_age_samples.csv,//nwcfile/FRAM/Assessments/CurrentAssessments/DataModerate_2021/copper_rockfish/data/recreational_comps/forSS
Summary of the number of samples by year and source used to estimate length-at-age parameters.,NA,len-at-age-samps,len_at_age_data.csv,//nwcfile/FRAM/Assessments/CurrentAssessments/DataModerate_2021/copper_rockfish/data/biology
Summary of the commercial length samples by number of trips and lengths by sex per year. ,NA,com-len-samps,OR_Com_Samples.csv,//nwcfile/FRAM/Assessments/CurrentAssessments/DataModerate_2021/copper_rockfish/data/commercial_comps/forSS
Sites and areas sampled by the Mrine Reserve Program hook and line survey.,NA,table-1,table_1_sample_info.csv,//nwcfile/FRAM/Assessments/CurrentAssessments/DataModerate_2021/copper_rockfish/write_up/or
Summary of number of catch cell days and positive observations of copper rockfish.,NA,table-2,table_2_marine_hkl.csv,//nwcfile/FRAM/Assessments/CurrentAssessments/DataModerate_2021/copper_rockfish/write_up/or
Summary of sampling effort by year and site combined with the positive observations of copper rockfish.,NA,table-3,table_3_data.csv,//nwcfile/FRAM/Assessments/CurrentAssessments/DataModerate_2021/copper_rockfish/write_up/or
